issue_type,timestamp_start,timestamp_end,sensor_id,record_count,note
timestamp_gap,2017-03-12 02:00:00,2017-03-12 02:55:00,ALL,12,全网共同缺少12个5分钟时间标签；与当地时间切换相符，不应直接视为检测器故障
zero_speed_candidate,2017-05-05 19:55:00,2017-05-05 19:55:00,400040,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-05-05 19:55:00,2017-05-05 19:55:00,400057,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-05-09 20:35:00,2017-05-09 20:35:00,400059,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-05-05 19:55:00,2017-05-05 19:55:00,400065,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-04-20 01:40:00,2017-04-20 01:40:00,400085,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-05-09 20:35:00,2017-05-09 20:35:00,400085,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-04-20 01:40:00,2017-04-20 01:40:00,400096,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-04-20 01:40:00,2017-04-20 01:40:00,400104,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-04-20 01:40:00,2017-04-20 01:40:00,400109,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-05-05 19:55:00,2017-05-05 19:55:00,400147,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-05-05 19:55:00,2017-05-05 19:55:00,400158,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-04-20 01:40:00,2017-04-20 01:40:00,400168,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-05-05 19:55:00,2017-05-05 19:55:00,400172,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-04-20 01:40:00,2017-04-20 01:40:00,400174,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-05-09 20:35:00,2017-05-09 20:35:00,400174,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-05-05 19:55:00,2017-05-05 19:55:00,400178,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-05-09 20:35:00,2017-05-09 20:35:00,400185,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-05-05 19:55:00,2017-05-05 19:55:00,400221,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-05-09 20:35:00,2017-05-09 20:35:00,400222,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-04-20 01:40:00,2017-04-20 01:40:00,400227,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-05-05 19:55:00,2017-05-05 19:55:00,400236,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-04-20 01:40:00,2017-04-20 01:40:00,400240,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-05-05 19:55:00,2017-05-05 19:55:00,400246,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-05-05 19:55:00,2017-05-05 19:55:00,400253,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-05-05 19:55:00,2017-05-05 19:55:00,400257,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-05-05 19:55:00,2017-05-05 19:55:00,400258,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-04-20 01:40:00,2017-04-20 01:40:00,400274,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-04-20 01:40:00,2017-04-20 01:40:00,400278,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-05-05 19:55:00,2017-05-05 19:55:00,400280,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-04-20 01:40:00,2017-04-20 01:40:00,400292,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-05-05 19:55:00,2017-05-05 19:55:00,400292,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-04-20 01:40:00,2017-04-20 01:40:00,400372,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-04-20 01:40:00,2017-04-20 01:40:00,400414,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-05-05 19:55:00,2017-05-05 19:55:00,400418,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-04-20 01:40:00,2017-04-20 01:40:00,400429,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-04-20 01:40:00,2017-04-20 01:40:00,400449,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-05-05 19:55:00,2017-05-05 19:55:00,400457,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-05-05 19:55:00,2017-05-05 19:55:00,400479,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
zero_speed_candidate,2017-05-09 20:35:00,2017-05-09 20:35:00,400507,1,0值需先作为数据质量候选核查，不得直接解释为车辆完全停止
