timestamp,detector_id,segment_id,direction,road_type,lanes,flow_15min,speed_kmh,occupancy_pct,travel_time_min,rain,event,is_weekend,is_peak,incident,congestion,severe_congestion
2026-03-02 00:00:00,D01,S01,东向,城市快速路,4,39,78.2,16.67,4.6,0,0,0,0,0,0,0
2026-03-02 00:15:00,D01,S01,东向,城市快速路,4,32,84.46,13.9,4.26,0,0,0,0,0,0,0
2026-03-02 00:30:00,D01,S01,东向,城市快速路,4,22,94.99,12.82,3.79,0,0,0,0,0,0,0
2026-03-02 00:45:00,D01,S01,东向,城市快速路,4,34,84.14,12.26,4.28,0,0,0,0,0,0,0
2026-03-02 01:00:00,D01,S01,东向,城市快速路,4,26,89.48,16.62,4.02,0,0,0,0,0,0,0
2026-03-02 01:15:00,D01,S01,东向,城市快速路,4,20,86.28,7.08,4.17,0,0,0,0,0,0,0
2026-03-02 01:30:00,D01,S01,东向,城市快速路,4,18,87.53,8.14,4.11,0,0,0,0,0,0,0
2026-03-02 01:45:00,D01,S01,东向,城市快速路,4,30,83.84,13.62,4.29,0,0,0,0,0,0,0
2026-03-02 02:00:00,D01,S01,东向,城市快速路,4,36,85.19,11.73,4.23,0,0,0,0,0,0,0
2026-03-02 02:15:00,D01,S01,东向,城市快速路,4,41,81.72,13.26,4.41,0,0,0,0,0,0,0
2026-03-02 02:30:00,D01,S01,东向,城市快速路,4,35,74.7,11.43,4.82,0,0,0,0,0,1,0
2026-03-02 02:45:00,D01,S01,东向,城市快速路,4,26,85.71,11.7,4.2,0,0,0,0,0,0,0
2026-03-02 03:00:00,D01,S01,东向,城市快速路,4,30,83.5,12.36,4.31,0,0,0,0,0,0,0
2026-03-02 03:15:00,D01,S01,东向,城市快速路,4,36,81.94,13.53,4.39,0,0,0,0,0,0,0
2026-03-02 03:30:00,D01,S01,东向,城市快速路,4,23,81.81,10.96,4.4,0,0,0,0,0,0,0
2026-03-02 03:45:00,D01,S01,东向,城市快速路,4,20,83.09,9.87,4.33,0,0,0,0,0,0,0
2026-03-02 04:00:00,D01,S01,东向,城市快速路,4,19,84.07,10.67,4.28,0,0,0,0,0,0,0
2026-03-02 04:15:00,D01,S01,东向,城市快速路,4,29,88.69,12.91,4.06,0,0,0,0,0,0,0
2026-03-02 04:30:00,D01,S01,东向,城市快速路,4,38,81.68,14.41,4.41,0,0,0,0,0,0,0
2026-03-02 04:45:00,D01,S01,东向,城市快速路,4,31,79.41,12.94,4.53,0,0,0,0,0,0,0
2026-03-02 05:00:00,D01,S01,东向,城市快速路,4,29,84.94,10.32,4.24,0,0,0,0,0,0,0
2026-03-02 05:15:00,D01,S01,东向,城市快速路,4,35,77.03,14.43,4.67,0,0,0,0,0,0,0
2026-03-02 05:30:00,D01,S01,东向,城市快速路,4,43,78.95,15.66,4.56,0,0,0,0,0,0,0
2026-03-02 05:45:00,D01,S01,东向,城市快速路,4,38,81.17,15.88,4.44,0,0,0,0,0,0,0
2026-03-02 06:00:00,D01,S01,东向,城市快速路,4,41,84.43,15.07,4.26,0,0,0,0,0,0,0
2026-03-02 06:15:00,D01,S01,东向,城市快速路,4,44,,18.37,4.5,0,0,0,0,0,0,0
2026-03-02 06:30:00,D01,S01,东向,城市快速路,4,42,91.75,17.45,3.92,0,0,0,0,0,0,0
2026-03-02 06:45:00,D01,S01,东向,城市快速路,4,68,79.25,22.91,4.54,0,0,0,0,0,0,0
2026-03-02 07:00:00,D01,S01,东向,城市快速路,4,56,88.03,20.0,4.09,0,0,0,1,0,0,0
2026-03-02 07:15:00,D01,S01,东向,城市快速路,4,63,81.39,22.2,4.42,0,0,0,1,0,0,0
2026-03-02 07:30:00,D01,S01,东向,城市快速路,4,73,76.87,25.34,4.68,0,0,0,1,0,0,0
2026-03-02 07:45:00,D01,S01,东向,城市快速路,4,70,82.61,21.15,4.36,0,0,0,1,0,0,0
2026-03-02 08:00:00,D01,S01,东向,城市快速路,4,93,76.08,28.49,4.73,0,0,0,1,0,0,0
2026-03-02 08:15:00,D01,S01,东向,城市快速路,4,83,74.29,22.25,4.85,0,0,0,1,0,1,0
2026-03-02 08:30:00,D01,S01,东向,城市快速路,4,72,86.31,21.4,4.17,0,0,0,1,0,0,0
2026-03-02 08:45:00,D01,S01,东向,城市快速路,4,73,79.96,23.23,4.5,0,0,0,1,0,0,0
2026-03-02 09:00:00,D01,S01,东向,城市快速路,4,58,79.07,17.85,4.55,0,0,0,1,0,0,0
2026-03-02 09:15:00,D01,S01,东向,城市快速路,4,54,82.78,19.16,4.35,0,0,0,1,0,0,0
